TRANSACTION_DATE,DAY_NAME,DAY_CLASSIFICATION,MONTH_NAME,TIME_BUCKET,HOUR_OF_DAY,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_DETAIL,PRODUCT_TYPE,NUMBER_OF_SALES,TOTAL_REVENUE
2023-01-01,Sun,Weekend,Jan,morning,9,Lower Manhattan,Tea,Peppermint Rg,Brewed herbal tea,1,2.50
2023-01-01,Sun,Weekend,Jan,morning,9,Lower Manhattan,Coffee,Espresso shot,Barista Espresso,2,12.00
2023-01-01,Sun,Weekend,Jan,morning,11,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate,2,11.25
2023-01-01,Sun,Weekend,Jan,afternoon,16,Hell's Kitchen,Drinking Chocolate,Dark chocolate Rg,Hot chocolate,1,3.50
2023-01-01,Sun,Weekend,Jan,evening,18,Hell's Kitchen,Coffee,Our Old Time Diner Blend Sm,Drip coffee,1,4.00
2023-01-02,Mon,Weekday,Jan,afternoon,16,Astoria,Tea,Morning Sunrise Chai Lg,Brewed Chai tea,1,4.00
2023-01-03,Tue,Weekday,Jan,afternoon,12,Lower Manhattan,Bakery,Chocolate Chip Biscotti,Biscotti,1,3.50
2023-01-01,Sun,Weekend,Jan,afternoon,12,Hell's Kitchen,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee,1,5.00
2023-01-01,Sun,Weekend,Jan,afternoon,15,Hell's Kitchen,Coffee,Brazilian Rg,Organic brewed coffee,1,3.00
2023-01-02,Mon,Weekday,Jan,morning,10,Lower Manhattan,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,1,2.00
2023-01-02,Mon,Weekday,Jan,morning,11,Hell's Kitchen,Tea,English Breakfast Rg,Brewed Black tea,1,5.00
2023-01-02,Mon,Weekday,Jan,afternoon,12,Astoria,Tea,Lemon Grass Rg,Brewed herbal tea,1,2.50
2023-01-02,Mon,Weekday,Jan,morning,9,Lower Manhattan,Coffee,Columbian Medium Roast Rg,Gourmet brewed coffee,1,2.50
2023-01-02,Mon,Weekday,Jan,morning,11,Astoria,Coffee,Brazilian Rg,Organic brewed coffee,4,18.00
2023-01-02,Mon,Weekday,Jan,afternoon,12,Astoria,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,2.50
2023-01-01,Sun,Weekend,Jan,evening,19,Hell's Kitchen,Coffee,Our Old Time Diner Blend Lg,Drip coffee,1,6.00
2023-01-02,Mon,Weekday,Jan,afternoon,14,Astoria,Coffee,Jamaican Coffee River Lg,Premium brewed coffee,1,3.75
2023-01-02,Mon,Weekday,Jan,afternoon,15,Hell's Kitchen,Tea,Peppermint Rg,Brewed herbal tea,1,2.50
2023-01-02,Mon,Weekday,Jan,afternoon,16,Lower Manhattan,Tea,Earl Grey Rg,Brewed Black tea,2,7.50
2023-01-02,Mon,Weekday,Jan,afternoon,16,Astoria,Tea,English Breakfast Rg,Brewed Black tea,2,5.00
2023-01-03,Tue,Weekday,Jan,afternoon,16,Lower Manhattan,Tea,Peppermint Lg,Brewed herbal tea,2,6.00
2023-01-03,Tue,Weekday,Jan,evening,17,Lower Manhattan,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,1,2.00
2023-01-03,Tue,Weekday,Jan,evening,17,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,1,4.75
2023-01-04,Wed,Weekday,Jan,afternoon,15,Astoria,Coffee,Jamaican Coffee River Rg,Premium brewed coffee,2,12.40
2023-01-04,Wed,Weekday,Jan,afternoon,16,Astoria,Coffee,Our Old Time Diner Blend Sm,Drip coffee,3,8.00
2023-01-05,Thu,Weekday,Jan,afternoon,13,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,1,4.75
2023-01-05,Thu,Weekday,Jan,afternoon,15,Astoria,Tea,Earl Grey Lg,Brewed Black tea,1,6.00
2023-01-05,Thu,Weekday,Jan,evening,18,Astoria,Coffee,Brazilian Lg,Organic brewed coffee,1,7.00
2023-01-06,Fri,Weekday,Jan,morning,9,Lower Manhattan,Drinking Chocolate,Dark chocolate Rg,Hot chocolate,1,7.00
2023-01-02,Mon,Weekday,Jan,morning,11,Lower Manhattan,Tea,Serenity Green Tea Rg,Brewed Green tea,1,2.50
2023-01-02,Mon,Weekday,Jan,afternoon,12,Lower Manhattan,Bakery,Chocolate Croissant,Pastry,1,3.75
2023-01-03,Tue,Weekday,Jan,morning,8,Hell's Kitchen,Coffee,Cappuccino Lg,Barista Espresso,2,8.50
2023-01-03,Tue,Weekday,Jan,afternoon,12,Hell's Kitchen,Coffee,Latte,Barista Espresso,1,3.75
2023-01-03,Tue,Weekday,Jan,evening,17,Astoria,Coffee,Ethiopia Sm,Gourmet brewed coffee,2,4.40
2023-01-04,Wed,Weekday,Jan,morning,8,Lower Manhattan,Coffee,Latte Rg,Barista Espresso,1,4.25
2023-01-04,Wed,Weekday,Jan,afternoon,12,Hell's Kitchen,Coffee,Cappuccino,Barista Espresso,1,3.75
2023-01-04,Wed,Weekday,Jan,afternoon,15,Astoria,Bakery,Chocolate Chip Biscotti,Biscotti,1,3.50
2023-01-05,Thu,Weekday,Jan,afternoon,13,Astoria,Tea,Earl Grey Lg,Brewed Black tea,1,6.00
2023-01-05,Thu,Weekday,Jan,afternoon,14,Astoria,Coffee,Columbian Medium Roast Sm,Gourmet brewed coffee,1,2.00
2023-01-05,Thu,Weekday,Jan,evening,19,Hell's Kitchen,Bakery,Croissant,Pastry,1,3.50
